year,name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
2000,SMITH,1,2376206,880.85,880.85,73.35,22.22,0.40,0.85,1.63,1.56
2000,JOHNSON,2,1857160,688.44,1569.30,61.55,33.80,0.42,0.91,1.82,1.50
2000,WILLIAMS,3,1534042,568.66,2137.96,48.52,46.72,0.37,0.78,2.01,1.60
2000,BROWN,4,1380145,511.62,2649.58,60.71,34.54,0.41,0.83,1.86,1.64
2000,JONES,5,1362755,505.17,3154.75,57.69,37.73,0.35,0.94,1.85,1.44
2000,MILLER,6,1127803,418.07,3572.82,85.81,10.41,0.42,0.63,1.31,1.43
2000,DAVIS,7,1072335,397.51,3970.33,64.73,30.77,0.40,0.79,1.73,1.58
2000,GARCIA,8,858289,318.17,4288.50,6.17,0.49,1.43,0.58,0.51,90.81
2000,RODRIGUEZ,9,804240,298.13,4586.62,5.52,0.54,0.58,0.24,0.41,92.70
2000,WILSON,10,783051,290.27,4876.90,69.72,25.32,0.46,1.03,1.74,1.73
2000,MARTINEZ,11,775072,287.32,5164.22,6.04,0.52,0.60,0.64,0.46,91.72
2000,ANDERSON,12,762394,282.62,5446.83,77.60,18.06,0.48,0.70,1.59,1.58
2000,TAYLOR,13,720370,267.04,5713.87,67.80,27.67,0.39,0.75,1.78,1.61
2000,THOMAS,14,710696,263.45,5977.33,55.53,38.17,1.63,1.01,2.00,1.66
2000,HERNANDEZ,15,706372,261.85,6239.18,4.55,0.38,0.65,0.27,0.35,93.81
2000,MOORE,16,698671,259.00,6498.17,68.85,26.92,0.37,0.65,1.70,1.50
2000,MARTIN,17,672711,249.37,6747.54,77.47,15.30,0.71,0.94,1.59,3.99
2000,JACKSON,18,666125,246.93,6994.47,41.93,53.02,0.31,1.04,2.18,1.53
2000,THOMPSON,19,644368,238.87,7233.34,72.48,22.53,0.44,1.15,1.78,1.62
2000,WHITE,20,639515,237.07,7470.40,67.91,27.38,0.39,1.01,1.76,1.55
2000,LOPEZ,21,621536,230.40,7700.81,5.85,0.61,1.04,0.47,0.52,91.51
2000,LEE,22,605860,224.59,7925.40,40.09,17.41,37.83,1.03,2.30,1.34
2000,GONZALEZ,23,597718,221.57,8146.97,4.76,0.37,0.38,0.18,0.33,93.99
1990,SMITH,1,,1006,1006,,,,,,
1990,JOHNSON,2,,810,1816,,,,,,
1990,WILLIAMS,3,,699,2515,,,,,,
1990,JONES,4,,621,3136,,,,,,
1990,BROWN,5,,621,3757,,,,,,
1990,DAVIS,6,,480,4237,,,,,,
1990,MILLER,7,,424,4660,,,,,,
1990,WILSON,8,,339,5000,,,,,,
1990,MOORE,9,,312,5312,,,,,,
1990,TAYLOR,10,,311,5623,,,,,,
1990,ANDERSON,11,,311,5934,,,,,,
1990,THOMAS,12,,311,6245,,,,,,
1990,JACKSON,13,,310,6554,,,,,,
1990,WHITE,14,,279,6834,,,,,,
1990,HARRIS,15,,275,7109,,,,,,
1990,MARTIN,16,,273,7382,,,,,,
1990,THOMPSON,17,,269,7651,,,,,,
1990,GARCIA,18,,254,7905,,,,,,
1990,MARTINEZ,19,,234,8140,,,,,,
1990,ROBINSON,20,,233,8372,,,,,,
1990,CLARK,21,,231,8603,,,,,,
1990,RODRIGUEZ,22,,229,8832,,,,,,
1990,LEWIS,23,,226,9058,,,,,,
1990,LEE,24,,220,9278,,,,,,
